event,site,date,round,white,black,result,white_elo,black_elo,eco,set_up,time_control,start_time,end_time,termination,link,movetext,n_moves,w1,b1,w2,b2,w3,b3,w4,b4,w5,b5,w6,b6,w7,b7,w8,b8,w9,b9,w10,b10,last_move,complete_movetext,w_b_moves,w_k_moves,w_n_moves,w_o_moves,w_q_moves,w_r_moves,b_b_moves,b_k_moves,b_n_moves,b_o_moves,b_q_moves,b_r_moves,b_moves,k_moves,n_moves_2,o_moves,q_moves,r_moves,termination_broad,me,win,draw,loss,my_result,elo_dif,my_elo
Blitz,Lichess,2020-11-27,NA,therealslimkt,vvvicente,0-1,2033,2071,C24,NA,180+0,NA,NA,Normal,https://lichess.org/6MSylYEn,1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6 4. d3 Be7 5. Nge2 a6 6. O-O d6 7. f4 Be6 8. Bb3 Bxb3 9. axb3 h6 10. fxe5 dxe5 11. Ng3 Nd4 12. Nce2 c5 13. Nxd4 Qxd4+ 14. Kh1 O-O 15. Nf5 Qd7 16. Qe1 Rfe8 17. Nxh6+ gxh6 18. Qg3+ Qg4 19. Qxe5 Qg6 20. Ra5 Ng4 21. Qf4 Bd6 22. Qf3 Nxh2 23. Qf2 Nxf1 24. Qxf1 Qh5+ 25. Kg1 Re6 26. Bf4 Rf6 27. g3 Bxf4 28. gxf4 Qg4+ 29. Kf2 Rxf4+ 30. Ke3 Rxf1,30,e4,e5,Nc3,Nc6,Bc4,Nf6,d3,Be7,Nge2,a6,O-O,d6,f4,Be6,Bb3,Bxb3,axb3,h6,fxe5,dxe5,Rxf1,TRUE,3,5,7,1,7,2,5,1,6,1,6,6,8,6,13,2,13,8,Normal,White,0,0,TRUE,Loss,-38,2033
Blitz,Lichess,2020-11-27,NA,Thraxus,therealslimkt,1-0,2058,2038,A45,NA,180+0,NA,NA,Normal,https://lichess.org/UgfegFcJ,1. d4 Nf6 2. f3 e6 3. e4 c5 4. c4 cxd4 5. Qxd4 Nc6 6. Qd3 Qb6 7. Nc3 Nb4 8. Qd1 Bc5 9. Nh3 d6 10. a3 Nc6 11. Na4 Qa5+ 12. b4 Bxb4+ 13. axb4 Qxb4+ 14. Bd2,14,d4,Nf6,f3,e6,e4,c5,c4,cxd4,Qxd4,Nc6,Qd3,Qb6,Nc3,Nb4,Qd1,Bc5,Nh3,d6,a3,Nc6,Bd2,TRUE,1,0,3,0,3,0,2,0,4,0,3,0,3,0,7,0,6,0,Normal,Black,0,0,TRUE,Loss,-20,2038
Blitz,Lichess,2020-11-27,NA,therealslimkt,TimeKiller70,1-0,2033,2004,A10,NA,180+0,NA,NA,Normal,https://lichess.org/i2XVsT5S,1. c4 d5 2. cxd5 c6 3. dxc6 Nxc6 4. Nc3 e5 5. g3 Nf6 6. Bg2 Be7 7. Nf3 h6 8. O-O e4 9. Ne1 Bf5 10. h3 O-O 11. g4 Bg6 12. d3 exd3 13. Nxd3 Bxd3 14. exd3 Rc8 15. Bf4 Qd7 16. Rc1 Rfd8 17. Re1 Bb4 18. Re3 Nd4 19. a3 Ba5 20. b4 Bb6 21. Rg3 Re8 22. Be3 Bc7 23. f4 Bb6 24. Kh2 Rxe3 25. Rxe3 Nf5 26. Re5 Nh4 27. Ne4 Rxc1 28. Qxc1 Nxg2 29. Kxg2 Nd5 30. Nc5 Qd6 31. Nxb7 Qf6 32. Kg3 Ne3 33. Rxe3,33,c4,d5,cxd5,c6,dxc6,Nxc6,Nc3,e5,g3,Nf6,Bg2,Be7,Nf3,h6,O-O,e4,Ne1,Bf5,h3,O-O,Rxe3,TRUE,3,4,7,1,1,8,9,1,8,1,3,6,12,5,15,2,4,14,Normal,White,1,0,FALSE,Win,29,2033
Blitz,Lichess,2020-11-27,NA,AlexPush,therealslimkt,1-0,2084,2038,E00,NA,180+0,NA,NA,Normal,https://lichess.org/ixQIglQg,1. d4 Nf6 2. c4 e6 3. g3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 a6 7. a3 b5 8. Bg2 g6 9. Nf3 Bg7 10. O-O O-O 11. Re1 Bf5 12. Bg5 Re8 13. Nh4 Bg4 14. h3 Bc8 15. e4 Bb7 16. Nf3 Nbd7 17. Bf4 Ne5 18. Bxe5 dxe5 19. Rc1 c4 20. Kh2 Qd6 21. Nd2 Rab8 22. Qe2 Bc8 23. Qe3 Nd7 24. f4 exf4 25. gxf4 g5 26. e5 g4 27. exd6,27,d4,Nf6,c4,e6,g3,c5,d5,exd5,cxd5,d6,Nc3,a6,a3,b5,Bg2,g6,Nf3,Bg7,O-O,O-O,exd6,TRUE,4,2,5,1,2,3,6,1,4,1,1,3,10,3,9,2,3,6,Normal,Black,0,0,TRUE,Loss,-46,2038
Blitz,Lichess,2020-11-27,NA,therealslimkt,Lesnick86,1-0,2032,2010,B13,NA,180+0,NA,NA,Normal,https://lichess.org/8RFL2ddD,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bd3 Nc6 6. Nf3 Bg4 7. O-O Bh5 8. Bf4 Rc8 9. Nbd2 e6 10. Qb3 a6 11. Qxb7 Be7 12. Bxa6 O-O 13. b4 Nb8 14. Rfc1 Nxa6 15. Qxa6 Ne4 16. Nxe4 Bxf3 17. gxf3 dxe4 18. fxe4 h5 19. Qe2 g5 20. Qxh5 gxf4 21. Kh1 Bf6 22. e5 Bg7 23. Rg1 f5 24. Rxg7+ Kxg7 25. Rg1+ Qg5 26. Rxg5#,26,e4,c6,d4,d5,exd5,cxd5,c3,Nf6,Bd3,Nc6,Nf3,Bg4,O-O,Bh5,Bf4,Rc8,Nbd2,e6,Qb3,a6,Rxg5#,TRUE,3,2,3,1,5,6,6,2,5,1,1,2,9,4,8,2,6,8,Normal,White,1,0,FALSE,Win,22,2032
Blitz,Lichess,2020-11-27,NA,therealslimkt,GSMgodin,1-0,2027,2020,E77,NA,180+0,NA,NA,Normal,https://lichess.org/pPDLYZr2,1. c4 Nf6 2. d4 c5 3. d5 g6 4. Nc3 Bg7 5. e4 d6 6. f4 O-O 7. Nf3 e6 8. Be2 a6 9. O-O exd5 10. cxd5 b5 11. a3 Re8 12. e5 Nh5 13. b4 c4 14. Bb2 Nxf4 15. Qd2 dxe5 16. a4 e4 17. Qxf4 exf3 18. Rxf3 Bxc3 19. Qxf7+,19,c4,Nf6,d4,c5,d5,g6,Nc3,Bg7,e4,d6,f4,O-O,Nf3,e6,Be2,a6,O-O,exd5,cxd5,b5,Qxf7+,TRUE,2,1,2,1,3,2,2,1,3,1,0,2,4,2,5,2,3,4,Normal,White,1,0,FALSE,Win,7,2027
Blitz,Lichess,2020-11-27,NA,betochess81,therealslimkt,1-0,2003,2033,A46,NA,180+0,NA,NA,Normal,https://lichess.org/hw8ZGek7,1. d4 Nf6 2. Nf3 e6 3. Bf4 c5 4. c3 Nc6 5. e3 a6 6. Be2 b5 7. O-O b4 8. Nbd2 Be7 9. Rc1 bxc3 10. bxc3 cxd4 11. cxd4 O-O 12. Bd3 Bb7 13. Ne5 Rc8 14. Qb3 Nxe5 15. dxe5 Bd5 16. Qd1 Ne8 17. Qh5 f5 18. exf6 Nxf6 19. Qe5 d6 20. Qb2 Ng4 21. Ne4 Rxc1 22. Rxc1 Nf6 23. Ng5 h6 24. Nh3 Ne4 25. Qd4 Bf6 26. Qa7 Qa5 27. Qxa6 Qd2 28. Rf1 e5 29. Qb5 exf4 30. Qxd5+ Kh8 31. Qxe4 fxe3 32. Qh7#,32,d4,Nf6,Nf3,e6,Bf4,c5,c3,Nc6,e3,a6,Be2,b5,O-O,b4,Nbd2,Be7,Rc1,bxc3,bxc3,cxd4,Qh7#,TRUE,3,1,6,1,12,4,4,2,8,1,2,3,7,3,14,2,14,7,Normal,Black,0,0,TRUE,Loss,30,2033
Blitz,Lichess,2020-11-27,NA,Queennisa,therealslimkt,1/2-1/2,2096,2032,C10,NA,180+0,NA,NA,Normal,https://lichess.org/yZJNYGvC,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Ng3 h5 6. h4 Bd6 7. Nf3 Bxg3 8. fxg3 Ng4 9. Bg5 f6 10. Bf4 Nc6 11. Bd3 f5 12. O-O Nxd4 13. Nxd4 Qxd4+ 14. Kh1 Nf2+ 15. Rxf2 Qxf2 16. Bxc7 O-O 17. Qxh5 Bd7 18. Be5 Bc6 19. Rg1 Rad8 20. Qg6 Rf7 21. Bc4 Bd5 22. Bxd5 exd5 23. h5 f4 24. h6 Qxg3 25. h7+ Kh8 26. Qxg3 fxg3 27. Bxg3 Kxh7 28. Rd1 Re7 29. c4 d4 30. Bh4 Ree8 31. Bxd8 Rxd8 32. Kg1 Kg6 33. Kf2 Kf5 34. Kf3 g5 35. g4+ Ke5 36. Re1+ Kd6 37. b4 b5 38. c5+ Kd5 39. Ke2 Kc4 40. a3 d3+ 41. Kd2 Kb3 42. Re3 Kxa3 43. Rxd3+ Rxd3+ 44. Kxd3 Kxb4 45. c6 a5 46. c7 a4 47. c8=Q a3 48. Qc3+ Ka4 49. Kc2 b4 50. Qb3+ Kb5 51. Kd3 Ka5 52. Kc4 Kb6 53. Qxb4+ Kc7 54. Qxa3 Kd7 55. Qe3 Kc7 56. Qxg5 Kb6 57. Qf4 Kc6 58. g5 Kd7 59. g6 Ke6 60. g7 Kd7 61. g8=Q Kc6 62. Qgg5 Kd7 63. Qff6 Ke8 64. Qgg7,64,e4,e6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Ng3,h5,h4,Bd6,Nf3,Bxg3,fxg3,Ng4,Bg5,f6,Bf4,Nc6,Qgg7,TRUE,10,11,5,1,13,7,5,27,5,1,3,7,15,38,10,2,16,14,Normal,Black,0,1,FALSE,Draw,-64,2032
Blitz,Lichess,2020-11-27,NA,Diegoumbacia,therealslimkt,0-1,2004,2026,C00,NA,180+0,NA,NA,Normal,https://lichess.org/clECZSj7,1. e4 e6 2. d4 d5 3. Bd3 dxe4 4. Bxe4 Nf6 5. Bg5 Be7 6. Bxf6 gxf6 7. Nf3 Nc6 8. c3 Qd6 9. Nbd2 b6 10. Nc4 Qd7 11. Qa4 Bb7 12. O-O-O O-O-O 13. Bxc6 Bxc6 14. Qxa7 f5 15. Nfe5 Qd5 16. Ne3 Qe4 17. f3 Qxe3+ 18. Rd2 Bb7 19. Nxf7 Bg5 20. Nxg5 Qxg5 21. Re1 e5 22. Rxe5 Rhe8 23. Rxe8 Rxe8 24. Kc2 Qg6 25. f4 Qd6 26. Qa4 Be4+ 27. Kb3 Qe6+ 28. c4 Bc6 29. Qa6+ Bb7 30. Qb5 Qe3+ 31. Kb4 Qxd2+,31,e4,e6,d4,d5,Bd3,dxe4,Bxe4,Nf6,Bg5,Be7,Bxf6,gxf6,Nf3,Nc6,c3,Qd6,Nbd2,b6,Nc4,Qd7,Qxd2+,TRUE,5,4,7,1,5,5,8,1,2,1,11,3,13,5,9,2,16,8,Normal,Black,1,0,FALSE,Win,22,2026
Blitz,Lichess,2020-11-27,NA,therealslimkt,pirette59,1-0,2020,2031,A34,NA,180+0,NA,NA,Normal,https://lichess.org/8cJPZNEa,1. c4 c5 2. Nc3 b6 3. g3 Bb7 4. e4 d6 5. Bg2 a6 6. d3 e6 7. Nge2 Qc7 8. O-O Nf6 9. f4 Nbd7 10. f5 e5 11. h3 Be7 12. g4 h6 13. Ng3 Bc6 14. h4 Rb8 15. g5 hxg5 16. hxg5 Nh7 17. g6 fxg6 18. fxg6 Nhf6 19. Nd5 Bxd5 20. exd5 b5 21. Ne4 O-O 22. Ng5 Qb6 23. Bh3 bxc4 24. dxc4 Qb4 25. b3 Qc3 26. Bd2 Qg3+ 27. Kh1 Ne4 28. Be6+ Kh8 29. Qh5#,29,c4,c5,Nc3,b6,g3,Bb7,e4,d6,Bg2,a6,d3,e6,Nge2,Qc7,O-O,Nf6,f4,Nbd7,f5,e5,Qh5#,TRUE,4,2,6,1,1,1,4,2,5,1,5,2,8,4,11,2,6,3,Normal,White,1,0,FALSE,Win,-11,2020
Blitz,Lichess,2020-11-27,NA,therealslimkt,harol0321,0-1,2026,2065,B32,NA,180+0,NA,NA,Normal,https://lichess.org/9oOc2LUo,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 d5 5. exd5 Qxd5 6. Be3 Nf6 7. Nc3 Qa5 8. Bd3 Nxd4 9. Bxd4 Bg4 10. f3 Bh5 11. g4 Bg6 12. h4 O-O-O 13. Be3 Bxd3 14. cxd3 Nd5 15. Bd2 e6 16. Nxd5 Qxd5 17. Bf4 Bb4+ 18. Kf2 Qd4+ 19. Kg3 e5 20. Qc2+ Kb8 21. Bg5 f6 22. Bd2 Bxd2 23. Qxd2 Qxd3 24. Qb4 Rd4 25. Qe7 Qe3 26. Rhe1 Qf4+ 27. Kg2 Rd2+ 28. Kg1 Qg3+ 29. Kf1 Qf2#,29,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,d5,exd5,Qxd5,Be3,Nf6,Nc3,Qa5,Bd3,Nxd4,Bxd4,Bg4,f3,Bh5,Qf2#,TRUE,8,5,4,0,4,1,6,2,4,1,9,3,14,7,8,1,13,4,Normal,White,0,0,TRUE,Loss,-39,2026
Blitz,Lichess,2020-11-27,NA,Bouvard,therealslimkt,0-1,2037,2019,A13,NA,180+0,NA,NA,Normal,https://lichess.org/5VxCb1z5,1. Nf3 e6 2. c4 d5 3. g3 dxc4 4. Bg2 Nc6 5. Qc2 Nf6 6. Qxc4 Bd6 7. O-O O-O 8. Nc3 a6 9. a4 Na5 10. Qa2 b6 11. d3 Bb7 12. Bd2 Qe7 13. Rab1 Nd5 14. Nxd5 Bxd5 15. Qa1 Nb3 16. e4 Nxa1 17. exd5 Nb3 18. dxe6 Qxe6 19. Bc3 Rad8 20. Rfe1 Qd7 21. Ng5 Qxa4 22. Ne4 Nc5 23. Nxd6 Rxd6 24. Ra1 Qg4 25. h3 Qd7 26. d4 Ne6 27. Rxa6 Nxd4 28. Kh2 Re8 29. Rea1 Ne2 30. Ra8 Nxc3 31. bxc3 Re6 32. h4 Re2 33. Kg1 h6 34. c4 g6 35. Bd5 Kg7 36. Rxe8 Qxe8 37. Ra8 Re1+ 38. Kg2 Qe2 39. Ra2 Qxa2,39,Nf3,e6,c4,d5,g3,dxc4,Bg2,Nc6,Qc2,Nf6,Qxc4,Bd6,O-O,O-O,Nc3,a6,a4,Na5,Qa2,b6,Qxa2,TRUE,4,4,6,1,4,10,3,2,12,1,9,7,7,6,18,2,13,17,Normal,Black,1,0,FALSE,Win,-18,2019
Blitz,Lichess,2020-11-27,NA,therealslimkt,Djolelovac,0-1,2025,2042,B13,NA,180+0,NA,NA,Normal,https://lichess.org/QZiH66et,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nc6 5. Bd3 Nf6 6. Nf3 Bg4 7. O-O e6 8. Bg5 Be7 9. Nbd2 O-O 10. b4 h6 11. Bh4 a6 12. a4 Rc8 13. Qb3 Bxf3 14. Nxf3 Nd7 15. Bg3 Bf6 16. b5 Na5 17. Qb4 Be7 18. Qb2 Nc4 19. Qe2 Qa5 20. Rac1 axb5 21. axb5 Qxb5 22. Ne5 Ndxe5 23. Bxe5 Nxe5 24. Bxb5 Ng6 25. Bd3 Nf4 26. Qd2 Nxd3 27. Qxd3 Ra8 28. c4 Ra3 29. Qb1 dxc4 30. Qxb7 Bf6 31. Rxc4 Rd8 32. Rfc1 Rd3 33. h3 R3xd4 34. Rc8 g6 35. Rxd8+ Rxd8 36. Rc8 Kg7 37. Rxd8 Bxd8 38. Qd7 Bf6 39. Qd3 Bb2 40. g4 Bf6 41. f4 Bh4 42. f5 exf5 43. gxf5 Bf6 44. fxg6 fxg6 45. Qd7+ Kg8 46. Qe8+ Kg7 47. Qd7+ Kg8 48. Qe6+ Kg7 49. h4 h5 50. Qe1 Kf7 51. Kg2 Be7 52. Qf2+ Bf6 53. Qa2+ Ke7 54. Qa7+ Ke6 55. Qb6+ Kf7 56. Qc7+ Be7 57. Qf4+ Bf6 58. Qh6 Bg7 59. Qg5 Bf6 60. Qf4 Ke6 61. Kf3 Be5 62. Qe4 Kf6 63. Qc6+ Kf7 64. Qc2 Bf6 65. Qe4 Be7 66. Kf4 Bf6 67. Qd5+ Ke7 68. Qg5 Kf7 69. Qxf6+ Kxf6 70. Kg3 Ke6 71. Kf4 Kf6 72. Kg3 Kf5 73. Kf3 Ke5 74. Kg3 Ke4 75. Kh3 Kf4 76. Kg2 Kg4 77. Kh2 Kxh4 78. Kg2 Kg4 79. Kh1 g5 80. Kg1 h4 81. Kh1 Kg3 82. Kg1 g4 83. Kh1 h3 84. Kg1 Kf3 85. Kh1 g3 86. Kg1 g2 87. Kh2 Kf2 88. Kxh3 g1=Q 89. Kh4 Qg6 90. Kh3 Qh5#,90,e4,c6,d4,d5,exd5,cxd5,c3,Nc6,Bd3,Nf6,Nf3,Bg4,O-O,e6,Bg5,Be7,Nbd2,O-O,b4,h6,Qh5#,TRUE,7,25,4,1,31,8,22,28,10,1,4,8,29,53,14,2,35,16,Normal,White,0,0,TRUE,Loss,-17,2025
Blitz,Lichess,2020-11-27,NA,therealslimkt,Imyanara,1-0,2019,1997,B06,NA,180+0,NA,NA,Time forfeit,https://lichess.org/Xp3Cl6Tm,1. e4 g6 2. d4 Bg7 3. c4 c5 4. d5 Qb6 5. Nc3 d6 6. f4 a6 7. Nf3 Bg4 8. Be2 Nd7 9. O-O Ngf6 10. h3 Bxf3 11. Bxf3 O-O 12. Rb1 e5 13. fxe5 Nxe5 14. Be2 Nfd7 15. Bf4 f5 16. Na4 Qc7 17. b3 Rae8 18. exf5 Rxf5 19. Bg4 Rff8 20. b4 Nxc4 21. bxc5 Nxc5 22. Nxc5 Qxc5+ 23. Kh1 Ne3 24. Bxe3 Rxf1+ 25. Qxf1 Qxe3 26. Be6+ Kh8 27. Qf7 Rf8 28. Qe7 Qe5 29. Kg1 Bh6 30. Qd7 Be3+ 31. Kh1 Qg3 32. Bg4 Bf4 33. Kg1,33,e4,g6,d4,Bg7,c4,c5,d5,Qb6,Nc3,d6,f4,a6,Nf3,Bg4,Be2,Nd7,O-O,Ngf6,h3,Bxf3,Kg1,TRUE,8,5,4,1,4,2,6,2,7,1,6,6,14,7,11,2,10,8,Time forfeit,White,1,0,FALSE,Win,22,2019
Bullet,Lichess,2020-11-26,NA,mrhofm,therealslimkt,1-0,1913,1931,B40,NA,60+0,NA,NA,Normal,https://lichess.org/VOKkOio3,1. d4 Nf6 2. Nc3 e6 3. e4 c5 4. Nf3 cxd4 5. Nxd4 Nc6 6. Nxc6 bxc6 7. e5 Nd5 8. Nxd5 cxd5 9. Bd3 d6 10. exd6 Bxd6 11. O-O O-O 12. c4 d4 13. Re1 e5 14. f4 f6 15. fxe5 fxe5 16. Qh5 h6 17. Qg6 Qf6 18. Qh7+ Kf7 19. Rf1 Qxf1+ 20. Kxf1 Ke6+ 21. Kg1 Rf7 22. Qg6+ Ke7 23. Bd2 e4 24. Bxe4 Rb8 25. Re1 Kf8 26. Bd5 Re7 27. Rf1+ Rf7 28. Qxf7#,28,d4,Nf6,Nc3,e6,e4,c5,Nf3,cxd4,Nxd4,Nc6,Nxc6,bxc6,e5,Nd5,Nxd5,cxd5,Bd3,d6,exd6,Bxd6,Qxf7#,TRUE,4,3,5,1,5,5,1,5,3,1,2,5,5,8,8,2,7,10,Normal,Black,0,0,TRUE,Loss,18,1931
Bullet,Lichess,2020-11-26,NA,kingforce,therealslimkt,0-1,1883,1926,C01,NA,60+0,NA,NA,Normal,https://lichess.org/FX5wgobq,1. e4 e6 2. d4 d5 3. exd5 exd5 4. c4 Nf6 5. Nc3 dxc4 6. Nf3 a6 7. Bxc4 b5 8. Bb3 c5 9. dxc5 Qxd1+ 10. Nxd1 Bxc5 11. Be3 Bxe3 12. fxe3 O-O 13. Ne5 Nbd7 14. Nc6 Re8 15. O-O Ne5 16. Nxe5 Rxe5 17. Re1 Bb7 18. Nc3 Rae8 19. e4 Nxe4 20. Nxe4 Rxe4 21. Rxe4 Rxe4 22. Kf2 Rf4+ 23. Kg3 Rd4 24. Rf1 Bd5 25. Rc1 h6 26. Rc8+ Kh7 27. Bxd5 Rxd5 28. Rc6 a5 29. Rc3 Rd8,29,e4,e6,d4,d5,exd5,exd5,c4,Nf6,Nc3,dxc4,Nf3,a6,Bxc4,b5,Bb3,c5,dxc5,Qxd1+,Nxd1,Bxc5,Rd8,TRUE,4,3,8,1,0,8,4,2,4,1,1,10,8,5,12,2,1,18,Normal,Black,1,0,FALSE,Win,43,1926
Bullet,Lichess,2020-11-26,NA,Atlas23,therealslimkt,0-1,1927,1920,C00,NA,60+0,NA,NA,Normal,https://lichess.org/boJI14i5,1. e4 e6 2. d4 d5 3. Bd3 dxe4 4. Bxe4 Nf6 5. Qd3 c5 6. Nf3 Nxe4 7. Qxe4 Nc6 8. d5 Qxd5 9. Qxd5 exd5 10. O-O Bg4 11. Re1+ Be7 12. Ne5 Nxe5 13. Rxe5 Be6 14. Nc3 O-O-O 15. Bf4 d4 16. Ne4 c4 17. Re1 d3 18. cxd3 cxd3 19. Nc5 Bd6 20. Nxe6 Bxe5 21. Nxd8 Bxf4 22. Nxf7 Rf8 23. Ne5 Bxe5 24. Rxe5 d2 25. Rd5 Rd8,25,e4,e6,d4,d5,Bd3,dxe4,Bxe4,Nf6,Qd3,c5,Nf3,Nxe4,Qxe4,Nc6,d5,Qxd5,Qxd5,exd5,O-O,Bg4,Rd8,TRUE,3,1,9,1,3,6,7,1,4,1,1,3,10,2,13,2,4,9,Normal,Black,1,0,FALSE,Win,-7,1920
Bullet,Lichess,2020-11-26,NA,therealslimkt,Gregory_Yazev,0-1,1927,1811,A11,NA,60+0,NA,NA,Normal,https://lichess.org/zaAsJh66,1. c4 c6 2. Nc3 d5 3. cxd5 cxd5 4. g3 Bf5 5. Bg2 e6 6. Nf3 Nf6 7. O-O Bc5 8. d3 Nc6 9. Bf4 O-O 10. Rc1 Qb6 11. a3 Qxb2 12. Na4 Qxa3 13. Nxc5 b6 14. Nb3 Rac8 15. Ra1 Qe7 16. Ne5 h6 17. Nxc6 Rxc6 18. Nd4 Rc7 19. Nb5 Rb7 20. Nd4 Bh7 21. Qb3 g5 22. Be5 Nd7 23. Nf3 Nxe5 24. Nxe5 Qd6 25. f4 gxf4 26. gxf4 f5 27. Rf3 Kg7 28. Rg3+ Kf6 29. Rf1 Rg8 30. Rff3 Rxg3 31. Rxg3 a5 32. Bf3 b5 33. Bh5 a4 34. e4 axb3 35. exf5 Bxf5 36. Bg4 Bxg4 37. Rxg4 Qxe5 38. Rg6+ Kxg6 39. fxe5 Kf5 40. Kf2 Kxe5 41. d4+ Kxd4 42. Kg3 Kc3 43. Kh4 b2 44. Kh5 b1=Q 45. Kxh6 Qf5 46. h4 Rh7#,46,c4,c6,Nc3,d5,cxd5,cxd5,g3,Bf5,Bg2,e6,Nf3,Nf6,O-O,Bc5,d3,Nc6,Bf4,O-O,Rc1,Qb6,Rh7#,TRUE,6,6,12,1,1,10,5,8,4,1,7,8,11,14,16,2,8,18,Normal,White,0,0,TRUE,Loss,116,1927
Bullet,Lichess,2020-11-26,NA,therealslimkt,CHriisTiian1,1-0,1921,1953,A13,NA,60+0,NA,NA,Normal,https://lichess.org/rbHXYZBB,1. c4 e6 2. Nc3 d5 3. cxd5 exd5 4. d3 Nf6 5. g3 c6 6. Bg2 Bd6 7. a3 O-O 8. b4 Bf5 9. Bb2 Re8 10. Nf3 Nbd7 11. O-O Ne5 12. Rc1 Nxf3+ 13. Bxf3 Qe7 14. b5 Bg4 15. a4 Bxf3 16. exf3 Nh5 17. bxc6 bxc6 18. Re1 Qg5 19. f4 Nxf4 20. Rxe8+ Rxe8 21. Qf3 Nh3+ 22. Kg2 Nf4+ 23. Kg1 h5 24. Nd1 Nh3+ 25. Kg2 Nf4+ 26. Kf1 Ne2 27. Rxc6 h4 28. Rxd6 hxg3 29. hxg3 Qh5 30. Qxh5 g6 31. Rxg6+ fxg6 32. Qxg6+ Kf8 33. Qg7#,33,c4,e6,Nc3,d5,cxd5,exd5,d3,Nf6,g3,c6,Bg2,Bd6,a3,O-O,b4,Bf5,Bb2,Re8,Nf3,Nbd7,Qg7#,TRUE,3,5,3,1,4,7,4,2,11,1,3,3,7,7,14,2,7,10,Normal,White,1,0,FALSE,Win,-32,1921
Bullet,Lichess,2020-11-26,NA,JoshuaKane,therealslimkt,0-1,1919,1915,C00,NA,60+0,NA,NA,Normal,https://lichess.org/stzHvLTn,1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Nf6 5. c4 Be7 6. cxd5 O-O 7. Nc3 Nxd5 8. Nxd5 Qxd5 9. Be2 Bg4 10. O-O Nd7 11. h3 Bh5 12. g4 Bg6 13. Bf4 Bd6 14. Bxd6 Qxd6 15. Ne5 Rae8 16. Nxd7 Qxd7 17. f4 Be4 18. Bf3 Qd5 19. Bxe4 Rxe4 20. Re1 f5 21. Rxe4 fxe4 22. Rc1 Rxf4 23. Rxc7 e3 24. Qb3 Qxb3 25. axb3 Rxd4 26. Re7 Rd2 27. Rxe3 Rxb2 28. Rc3 Kf7 29. Kf1 Ke6 30. Ke1 Kd5 31. Kd1 Kd4 32. Rc7 Rxb3 33. Rxg7 b5 34. Rxh7 b4 35. Rxa7 Rc3 36. Ra4 Kc5 37. g5 Rxh3 38. g6 Rg3 39. Kc2 Rxg6 40. Kb3 Rg3+ 41. Ka2 Kb5 42. Ra8 b3+ 43. Kb2 Kc4 44. Ra3 Rg2+ 45. Ka1 Kb4 46. Ra8 b2+ 47. Kb1 Kc3 48. Ka2 Rg1 49. Rb8 Ra1#,49,e4,e6,Nf3,d5,exd5,exd5,d4,Nf6,c4,Be7,cxd5,O-O,Nc3,Nxd5,Nxd5,Qxd5,Be2,Bg4,O-O,Nd7,Ra1#,TRUE,5,11,5,1,1,17,6,10,3,1,5,16,11,21,8,2,6,33,Normal,Black,1,0,FALSE,Win,-4,1915
Bullet,Lichess,2020-11-26,NA,therealslimkt,jkobs,0-1,1922,1891,E70,NA,60+0,NA,NA,Normal,https://lichess.org/wQRbEOc8,1. c4 g6 2. Nc3 Bg7 3. d4 Nf6 4. e4 c6 5. e5 Ng8 6. Nf3 d6 7. e6 Bxe6 8. d5 cxd5 9. cxd5 Bd7 10. Bb5 Nf6 11. Bxd7+ Nbxd7 12. Qa4 O-O 13. Be3 a6 14. O-O Rc8 15. Rac1 Nc5 16. Bxc5 Rxc5 17. Ne4 Rxc1 18. Nxf6+ Bxf6 19. Rxc1 Bxb2 20. Rc2 Bf6 21. Nd2 Qe8 22. h3 Qxa4,22,c4,g6,Nc3,Bg7,d4,Nf6,e4,c6,e5,Ng8,Nf3,d6,e6,Bxe6,d5,cxd5,cxd5,Bd7,Bb5,Nf6,Qxa4,TRUE,4,1,5,1,1,4,6,1,5,1,2,4,10,2,10,2,3,8,Normal,White,0,0,TRUE,Loss,31,1922
